id,group_code,driver_id,vehicle_id,order_id,sort,delivery_status,status,create_time,update_time
1,GC25081917395110894,1,1,1504,1,2,1,2025-08-19 17:39:51,2025-08-20 11:18:16
2,GC25081917395110894,1,1,1503,0,2,1,2025-08-19 17:39:51,2025-08-20 11:18:16
3,GC25081917395110894,1,1,1502,2,2,1,2025-08-19 17:39:51,2025-08-20 11:18:16
4,GC25081917395110894,1,1,1501,3,2,1,2025-08-19 17:46:08,2025-08-20 11:18:16
5,GC25081917395110894,1,1,1500,4,2,1,2025-08-19 17:46:08,2025-08-20 11:18:16
6,GC25082010112600623,1,1,1505,0,2,1,2025-08-20 10:11:26,2025-08-20 11:18:16
13,GC25082013481280969,1,1,1506,0,1,0,2025-08-20 13:48:12,2025-08-21 16:41:47
