id,rule_name,limit_points,limit_start_datetime,limit_end_datetime,create_time
16,东湖,"[{""lng"":114.38576477869262,""lat"":30.599985150974323},{""lng"":114.36133086882121,""lat"":30.553471424146394},{""lng"":114.39180139171967,""lat"":30.535307545137254},{""lng"":114.42198445685493,""lat"":30.529086249765452},{""lng"":114.43606988725138,""lat"":30.522864551990722},{""lng"":114.4435437890944,""lat"":30.51116667095489},{""lng"":114.4763139740984,""lat"":30.521869043006948},{""lng"":114.48982448896847,""lat"":30.540781952159175},{""lng"":114.48321296041503,""lat"":30.578347878128604},{""lng"":114.45877905054363,""lat"":30.5833223956895},{""lng"":114.46050379712278,""lat"":30.596503620369003},{""lng"":114.44411870462079,""lat"":30.60769380476327},{""lng"":114.42140954132854,""lat"":30.607445148183523},{""lng"":114.40042512461547,""lat"":30.60421255397142}]",2025-09-01 00:00:00,2025-09-30 00:00:00,2025-08-19 09:19:25
17,南湖,"[{""lng"":114.35903120671567,""lat"":30.5100465864833},{""lng"":114.34796408283275,""lat"":30.50257902361644},{""lng"":114.34724543842476,""lat"":30.498471617163442},{""lng"":114.34724543842476,""lat"":30.493368231777715},{""lng"":114.35285086480702,""lat"":30.495608775732844},{""lng"":114.35414442474139,""lat"":30.48826457599923},{""lng"":114.36779866849307,""lat"":30.485525917534623},{""lng"":114.37670985915204,""lat"":30.487019740892556},{""lng"":114.38921427185093,""lat"":30.48527694472335},{""lng"":114.39740681810193,""lat"":30.4854014312094},{""lng"":114.39812546250991,""lat"":30.489135951004148},{""lng"":114.40071258237866,""lat"":30.489882837592766},{""lng"":114.40028139573386,""lat"":30.495733248868873},{""lng"":114.386339694219,""lat"":30.49523535535959},{""lng"":114.38432748987665,""lat"":30.492994802718282},{""lng"":114.38073426783674,""lat"":30.49772479716823},{""lng"":114.3745539259281,""lat"":30.501334373494945},{""lng"":114.36751121072987,""lat"":30.504943814524427}]",2025-09-01 00:00:00,2025-09-30 00:00:00,2025-08-19 09:22:09
18,汉口江滩,"[{""lng"":114.35974985112365,""lat"":30.66847097922609},{""lng"":114.31936203539505,""lat"":30.61204519052931},{""lng"":114.30470168947221,""lat"":30.5833223956895},{""lng"":114.30829491151212,""lat"":30.581332619599984},{""lng"":114.35342578033341,""lat"":30.64722199708043},{""lng"":114.3580251045445,""lat"":30.650701685589137},{""lng"":114.36851731290105,""lat"":30.66374939094379}]",2025-09-01 00:00:00,2025-09-30 00:00:00,2025-08-19 09:25:33
19,金银湖,"[{""lng"":114.21666774949436,""lat"":30.665985961809444,""We"":""inner""},{""lng"":114.21717080057995,""lat"":30.67073850129098,""We"":""inner""},{""lng"":114.21321825633605,""lat"":30.67058319327526,""We"":""inner""},{""lng"":114.21638029173117,""lat"":30.675180203798373},{""lng"":114.19453350172851,""lat"":30.67629836213739},{""lng"":114.18475993777996,""lat"":30.672322628647173},{""lng"":114.18432875113517,""lat"":30.66632765553194,""We"":""inner""},{""lng"":114.18655654879991,""lat"":30.66070508547531,""We"":""inner""},{""lng"":114.1787592569733,""lat"":30.661046798057757,""We"":""inner""},{""lng"":114.17617213710456,""lat"":30.660642955783775,""We"":""inner""},{""lng"":114.17649552708815,""lat"":30.656386975890914,""We"":""inner""},{""lng"":114.17721417149613,""lat"":30.653466705019625,""We"":""inner""},{""lng"":114.17919044361808,""lat"":30.650794889792028,""We"":""inner""},{""lng"":114.18235247901322,""lat"":30.64880651378155,""We"":""inner""},{""lng"":114.18418502225357,""lat"":30.64684916581015},{""lng"":114.18824536315867,""lat"":30.64131866481321,""We"":""inner""},{""lng"":114.1911918052314,""lat"":30.642033298081262,""We"":""inner""},{""lng"":114.19313214513295,""lat"":30.641753659611503,""We"":""inner""},{""lng"":114.1953958750181,""lat"":30.640883668038967,""We"":""inner""},{""lng"":114.19661757051166,""lat"":30.63942330727406,""We"":""inner""},{""lng"":114.19819858820922,""lat"":30.637993996451545,""We"":""inner""},{""lng"":114.19970774146599,""lat"":30.638025068652773,""We"":""inner""},{""lng"":114.20024672477197,""lat"":30.639734024195416,""We"":""inner""},{""lng"":114.20164808136754,""lat"":30.638553294531164,""We"":""inner""},{""lng"":114.20229486133472,""lat"":30.636129645930808,""We"":""inner""},{""lng"":114.20452265899947,""lat"":30.63659573696317,""We"":""inner""},{""lng"":114.20463045566066,""lat"":30.637807563032524,""We"":""inner""},{""lng"":114.2029416413019,""lat"":30.6411943802222,""We"":""inner""},{""lng"":114.20179181024913,""lat"":30.644487867383255,""We"":""inner""},{""lng"":114.20017486033117,""lat"":30.648464757495564,""We"":""inner""},{""lng"":114.19837824931122,""lat"":30.649645364947403,""We"":""inner""},{""lng"":114.19622231608727,""lat"":30.651385180969662,""We"":""inner""},{""lng"":114.19816265598882,""lat"":30.65467831757908,""We"":""inner""},{""lng"":114.19701282493605,""lat"":30.660114851776882,""We"":""inner""},{""lng"":114.21562571510279,""lat"":30.653901644626142,""We"":""inner""},{""lng"":114.2149070706948,""lat"":30.659307157658308,""We"":""inner""},{""lng"":114.21634435951077,""lat"":30.66427747489105,""We"":""inner""}]",2025-09-01 00:00:00,2025-09-30 00:00:00,2025-08-19 09:32:37
